Transaction_ID,User_ID,Age,Gender,Monthly_Allowance,Parent_Budget_Level,Financial_Profile,Transaction_Date,Day_of_Week,Month,Time_of_Day,Merchant_Category,Amount,Payment_Method,Is_Weekend,Previous_Savings,Current_Savings,Saving_Rate,Spending_Ratio,Avg_Last_7_Transactions,Avg_Last_30_Days,Spending_Trend,Consecutive_Spending_Days,Cafe_Spending_Ratio,Education_Spending_Ratio,Entertainment_Ratio,Weekend_Spending_Ratio,Transaction_Frequency,Device_Changed,Location_Changed,High_Amount_Flag,Night_Transaction,Rapid_Transactions,Fraud_Risk_Score,AI_Label,AI_Reason,Recommended_Action
TX00001,U013,13,Male,1581,Low,Spender,2026-05-15,Friday,May,Afternoon,Cafe_Restaurant,65.27,Apple_Pay,1,111.0,98.63,0.06,0.04,0,0,0.0,1,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00002,U170,15,Male,1092,Low,Balanced,2026-03-26,Thursday,March,Afternoon,Education,82.66,Apple_Pay,0,189.0,182.06,0.17,0.08,0,0,0.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00003,U137,17,Female,1120,Medium,Balanced,2026-03-03,Tuesday,March,Night,Transportation,51.01,Apple_Pay,0,537.0,534.95,0.48,0.05,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,1,0,5,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00004,U151,12,Female,1142,Low,Spender,2026-03-14,Saturday,March,Morning,Gaming,166.97,Apple_Pay,1,445.0,407.31,0.36,0.15,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,0,0,0,0,4,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00005,U152,12,Male,425,High,Saver,2026-01-25,Sunday,January,Morning,Family_Budget,32.76,Cash,0,1018.0,1019.63,2.4,0.08,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,7,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00006,U114,15,Male,1414,Low,Spender,2026-02-22,Sunday,February,Evening,Transportation,52.62,Apple_Pay,0,149.0,139.32,0.1,0.04,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00007,U114,15,Male,1414,Low,Spender,2026-01-10,Saturday,January,Morning,Cafe_Restaurant,68.25,Apple_Pay,1,139.32,125.88,0.09,0.05,52.62,52.62,0.0,2,0.5,0.0,0.0,0.56,2,0,0,0,0,0,0,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00008,U159,17,Male,797,Medium,Saver,2026-03-22,Sunday,March,Morning,Savings_Deposit,92.58,Apple_Pay,0,529.0,621.58,0.78,0.12,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,5,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00009,U002,12,Male,795,Low,Spender,2026-05-09,Saturday,May,Morning,Shopping,104.96,Card,1,338.0,314.47,0.4,0.13,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,4,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00010,U097,12,Female,1303,High,Spender,2026-02-26,Thursday,February,Morning,Entertainment,100.97,Apple_Pay,0,247.0,225.48,0.17,0.08,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,6,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
